0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class
-0.168224584,-0.56996152,-0.108326335,-0.094606262,-0.190131863,0.447573978,-0.243511824,-0.364775184,-0.065416582,-0.337644858,-0.371732615,-0.546769991,0.023732104,-0.204599332,-0.440334191,0.036906833,0.785203597,1
-1.090156973,2.595294319,-0.212326232,-0.668729574,-0.194184545,-0.336195173,1.333174299,0.050962054,-0.224438873,-0.426553287,1.192982337,0.263909288,0.922942585,-0.178324527,-0.317070136,-0.215181029,0.656044097,1
-1.028478398,1.97951501,-0.141498757,-0.845107617,-0.177065912,-0.348109184,1.322375079,0.483668159,-0.206769472,-0.640126798,0.925112844,0.648632609,1.056025737,-0.148656361,-0.058095486,-0.194656995,0.495708165,1
-0.743891287,1.037072287,-0.281441458,-0.916681316,-0.232948182,-0.400979064,0.890406278,-1.266953272,-0.264139441,0.555305023,0.199826065,0.274273488,0.645985757,-0.191287301,-0.28645751,-0.276163144,0.290834475,1
-1.052284163,0.992015264,-0.264275679,-0.812899453,-0.224540183,-0.376027786,1.289977419,0.025508754,-0.24390242,2.242632396,-0.02952619,0.243506809,0.05250684,-0.169668353,-0.332439221,-0.260220928,-0.537567837,1
-1.025232157,1.168488603,-0.089722459,-0.961159257,-0.166434202,-0.357560436,1.289977419,0.789107763,-0.200641451,-0.702942536,1.122250827,0.983017013,1.041638368,-0.126755875,0.469392562,-0.183007879,0.602598786,1
-0.987359347,0.928184482,-0.207271249,-0.834371562,-0.202105695,-0.377470735,1.127989119,0.189541134,-0.233767557,-0.490335422,1.000415479,0.550273994,0.379819455,-0.144233608,0.151001769,-0.244680405,-0.292610164,1
-1.032806719,1.941967491,-0.235388689,-0.62936404,-0.213355834,-0.372425752,1.354772739,-0.076304447,-0.241485886,-0.193651858,0.632064914,0.265296034,0.886974166,-0.169904584,0.013252043,-0.251659832,-0.150089336,1
-1.024150076,0.46635,-0.285914468,-0.743881957,-0.234856626,-0.410156677,1.495162599,1.93733442,-0.267743237,-0.19075267,2.2741243,1.598754304,0.433772083,0.175283287,1.540334124,-0.281021126,1.64478234,1
-0.51773651,-0.303374136,1.150917485,-0.145730332,0.904618514,5.27334816,0.199256197,0.096212366,1.074596736,0.179376989,-0.134208347,0.064086036,0.361835245,-0.204592566,-0.349709504,2.010051079,1.172682098,1
-1.052284163,1.025808031,-0.249990904,-1.00665968,-0.223500697,-0.396666902,1.462764939,0.568512494,-0.254737932,-0.235206884,0.488906363,1.950455731,0.39060998,-0.14927852,0.551371311,-0.267187802,-0.256979957,1
-0.753630009,1.213545625,-0.261736163,-0.312906043,-0.22611915,-0.363678621,0.782414078,0.149947111,-0.236927567,0.166813841,1.749239875,0.009832372,0.455353135,-0.172428056,-0.520036419,-0.252676619,-0.074375146,1
-1.064187046,1.645342092,-0.019452908,-0.603802004,-0.170815835,-0.251091858,1.203583659,0.076415355,-0.134422538,-0.677816241,0.345380899,0.416648727,0.610017337,-0.159573088,-0.206017587,-0.148713285,-0.279248836,1
-0.952732779,2.794296169,-0.237529001,-0.89776541,-0.217605887,-0.366615244,1.419568059,-1.210390382,-0.250904471,-0.16176079,1.378915598,1.020457551,1.005669949,-0.193012686,-0.002364399,-0.256994826,0.330918458,1
-0.733070484,0.702899369,-0.268960316,-0.447362349,-0.215316385,-0.390346489,0.566429678,-1.402704207,-0.249017222,0.852954983,0.685967107,0.211634144,0.214364726,-0.150991969,-0.57281248,-0.258174801,0.126044768,1
-1.031724638,1.153469595,0.301540901,-0.86913593,-0.10934139,-0.20150699,1.138788339,0.039649476,-0.027773306,-0.448780395,0.326230085,0.41364316,0.721519438,-0.136310837,-0.096423272,0.005838341,-0.007568508,1
-0.185537868,-0.780227625,0.04204858,-0.42640148,0.018923353,0.349927281,-0.016728204,-0.036710424,0.04877349,0.041182364,0.112624745,-0.82894851,0.340254193,-0.191120827,-0.339379535,0.220129343,0.914363097,1
-0.262365567,-0.09310803,0.142749031,-0.596644634,0.001699456,1.445480964,0.112862437,0.110353088,0.020527244,-0.02259977,1.127979275,-0.586761717,1.038041527,-0.210620931,-0.09874049,0.233937562,1.408732219,1
-1.002508471,2.63659659,-0.259528516,-0.83283784,-0.223500697,-0.367089775,1.408768839,-1.371594617,-0.256243861,-0.380166281,0.986445909,0.147501962,0.717922595,-0.201937252,-0.124535043,-0.264928275,0.348733562,1
-0.768779133,0.402519218,-0.270932288,0.170216423,-0.226863896,-0.406774889,0.696020318,-1.332000595,-0.260279732,-0.499999382,-0.003590094,-0.234879365,0.077684733,-0.054709335,-0.201555902,-0.272271737,-0.314879043,1
-0.778517855,0.789258663,-0.018952701,-0.919237519,-0.180908065,-0.389822569,1.106390679,1.428268415,-0.193871938,-0.455545167,0.845931884,1.497071186,0.606420496,0.049216522,2.144249654,-0.139976449,1.680412547,1
-0.101135607,-0.825284648,0.822362844,-0.489795327,0.434783758,0.900854317,-0.221913384,-0.279930849,0.551035239,-0.636261214,1.410541986,-0.452342463,1.009266791,-0.175593905,-0.418813631,1.034249367,0.887640442,1
-0.19419451,-1.039305505,-0.244589623,0.133407092,-0.190039757,-0.138725341,-0.178716504,0.113181233,-0.222215641,-0.422687704,-0.313965856,-0.823459635,0.012941578,-0.20964728,-0.481702698,-0.228123096,0.05923813,1
-1.066351207,1.160979099,0.829971772,-0.924349926,0.066437098,-0.209078804,1.63555246,1.040812621,0.124471001,-0.018734186,3.293209248,0.341050086,0.433772083,-0.076567983,1.023256208,0.242812481,0.451170407,1
-0.973292304,2.362499702,-0.038398272,-0.704516423,-0.024182443,-0.007379568,1.063193799,0.059446488,0.007196989,-0.114407388,0.927065627,0.669157961,0.757487857,-0.171234797,-0.530337646,0.101692485,0.406632648,1
-0.326208303,-0.472337971,-0.231608274,-0.46321081,-0.181802813,-0.301001757,0.145260097,-0.245993116,-0.19366756,0.524380352,-0.556477209,-0.455444613,0.89416785,-0.171437793,-0.504571931,-0.180534953,0.384363769,1
-0.574004684,-0.427280948,-0.072450867,-0.743370717,-0.139762819,0.094435798,0.447638257,0.226307012,-0.152804462,-0.275795515,0.491910806,0.86626468,1.070413104,-0.205191369,-0.063665094,-0.081417048,1.217219856,1
