0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class
11.77,9.58,2832170000,3.19,27742000,643801,41.7,1.06,68084217,8.12,53.87206897,85.955,23.23333333,105.7535123,3441.166504,52476,80.4,1
14.27,8.29,1700000,9.6,55270,344,33.3,-2.53,113570,24,7.472222222,38.9275,20.13333333,330.1453488,181.2556763,39,36.3,1
13.35,5.57,79510000,7.2,2166000,10400,33.7,-0.95,5261372,9.7,22.93363636,15.11636364,31.33333333,505.9011538,343.3811646,5398,88.6,1
6.91,7.86,3327000,3.5,39750,468,46.2,0,85645,3.7,28.84,31.69357143,28,183.0021368,1916.984497,68,88.1,1
18.89,9.27,680040000,26.82,14687000,1219090,28,-0.12,56978635,28.53,7.442142857,27.7075,26.66666667,46.73866162,284.2776489,38087,66.4,1
9.03,13.06,47440000,3.47,648000,45228,43.7,-2.85,1220042,4.94,32.2425,69.0337931,23.66666667,26.97536924,1142.584351,900,68.9,0
9.48,9.85,463120000,3.29,3739000,83871,44.5,3.57,8884864,7.35,42.14137931,59.47965517,21.96666667,105.9348762,3892.831299,5102,58.3,0
11.93,9.39,524750000,2.45,5029000,450295,41.1,4.87,10261767,6.78,35.29782609,111.2185714,22.1,22.78898722,5089.962891,8728,87.4,0
21.62,3.99,2430000,11.4,120500,22966,23.9,-0.98,405633,9,9.488333333,18.99,22.4,17.66232692,196.1819611,175,45.7,0
11.62,7.26,69720000,3.3,476000,2586,39.5,12.65,639589,5.36,28.40333333,101.2726087,24.2,247.3275329,5288.111816,537,91,0
14.53,4.86,100250000,8.59,1843000,51100,32.6,0.78,5151140,8.1,20.80785714,23.295,25.7,100.8050881,658.5482178,3930,79.3,0
8.63,12.22,4238800000,3.24,44585000,357022,47.8,1.5,79903481,4.98,35.09857143,129.1473684,25.73333333,223.8054826,4251.028809,63622,77.3,0
10.41,8.44,590710000,3.64,5067000,41277,42.7,4.55,8453550,2.31,40.4885,167.6368421,21.23333333,204.8004942,3081.69751,6305,73.8,0
25.33,7.07,22600000,30.38,956800,824292,21.8,0,2678191,34,4.303333333,22.1025,14.73333333,3.249080423,217.1618652,1295,50,0
16.64,6.87,14690000,22.68,313800,214969,27.5,-7.84,787971,11.1,8.0275,10.28555556,19.16666667,3.665509911,182.8688355,208,26.6,0
6.63,10.47,7672000,1.78,52000,2,55.4,9.16,31223,2,61.898,174,35,15611.5,2544.510254,39,100,0
12.63,6.83,2400000,10.83,51000,455,36.8,0.9,96387,3,12.88090909,58.10777778,14.7,211.8395604,620.3916016,54,56.7,0
10.98,9.22,945480000,3.45,8907000,41543,42.8,1.9,17337403,3.41,29.57952381,109.9,23.06666667,417.3363262,3444.80835,15631,91.5,0
15.3,5.63,1760000,14.65,30000,443,32.7,2.06,99175,11,12.9225,47.55333333,19.03333333,223.8713318,485.8211975,25,24.6,0
22.79,3.44,100160000,14.25,731000,89342,23.5,-11.17,10909567,19.1,21.43058824,31.45222222,33.46666667,122.1101721,162.3544159,9010,91,0
12.6,6.72,447970000,3.52,2289000,70273,37.8,3.83,5224884,4.98,29.03633333,133.3947368,26.9,74.3512302,4055.941162,3035,63.2,0
18.19,4.67,50890000,15.39,3735000,112090,24.4,-1.35,9346277,5.6,4.24,8.258888889,19.33333333,83.38189847,70.95574188,5377,57.1,0
20.6,9.12,37720000,25.97,1177000,581730,25.7,2.85,2350667,20,3.409411765,28.705,16.2,4.040821343,374.1790772,1620,69.4,0
9.84,8.37,20600000,4.62,223000,316,42.3,6.04,460891,0.78,25.81444444,66.37375,31.03333333,1458.515823,1747.868408,409,94.6,0
12.86,7.27,37730000,11.1,1104000,28748,34.3,-3.24,3088385,5.83,13.58708333,43.98291667,22.33333333,107.4295603,148.4365692,1770,60.3,0
14.54,6.02,2393960000,19.87,25677000,783562,32.2,-1.55,82482383,13.68,14.48482759,16.67413793,32.03333333,105.2659305,301.6868286,61555,75.1,0
15.87,8.14,475180000,19.59,8685000,2724900,31.6,0.39,19245793,4.8,37.306,79.35192308,21.16666667,7.062935521,167.8211365,10569,57.4,0
14.72,5.66,855600000,6.7,15139000,329847,29.2,1.49,33519406,3.3,10.90857143,33.78416667,15.26666667,101.6210728,218.6548004,24364,76,0
17.52,5.06,353390000,3.62,3893000,21937,30.4,2.05,8787045,4.4,60.42533333,63.7016,26.66666667,400.5581894,2150.538818,7812,92.4,0
22.79,4.94,141500000,26.81,6664000,108889,23.2,-1.69,17422821,2.3,6.035,10.45,18.56666667,160.0053357,93.48612976,8804,51.1,0
12.5,2.81,69650000,10.54,831600,760,32.9,-0.67,1526929,3.6,9.936875,26.57142857,29.9,2009.117105,584.8989258,1399,89.3,0
16.03,7.42,25890000,11.42,1113000,10991,29.4,-7.98,2816602,7.72,4.715714286,13.89888889,24.2,256.2643981,208.4400177,1614,55.7,0
10.96,7.9,3700000,10.23,144000,430,39.5,-0.29,301865,10.1,16.978,41.75333333,24.73333333,702.0116279,521.4302979,89,31.1,0
12.44,7.42,1340000,13.16,57520,389,35.3,-6.82,101145,18.8,8.123333333,61.51727273,23.83333333,260.0128535,224.6751709,58,52.2,0
22.23,3.46,70650000,11.48,1114000,1759540,25.8,-1.15,7017224,30,17.61,58.64142857,31.66666667,3.988101436,685,5183,80.1,0
14.03,6.93,138510000,24.1,4939000,86600,32.6,0,10282283,5,36.266,87.9672,19.83333333,118.73306,43.97441864,5526,55.7,0
17.9,2.23,209740000,7.6,2695000,17818,29.7,-3.65,3032065,1.1,22.292,59.75428571,37.96666667,170.1686497,1506.605835,4197,100,0
10.21,8.08,1742790000,4.44,18136000,9984670,41.8,5.55,37943231,5.67,24.34,101.0157143,31.33333333,3.800148728,3670.843262,30084,81.4,0
10.25,9.22,137000000,4.19,4691000,110860,42.1,-3.32,11032343,2.6,62.3262069,91.02,26.7,99.51599314,877.4390259,8851,77,0
16.9,6.31,9860000,10.27,353100,18274,29.9,-6.02,939535,4.5,5.521666667,27.06,30.06666667,51.41375725,146.5606842,513,56.2,0
15.69,4.12,7050000,26.4,222200,298,29.5,-12.76,390669,2.9,11.911,40.42166667,7.866666667,1310.969799,687.5372925,177,39.8,0
14.01,6.45,274800000,8.36,8000000,65610,33.7,-1.24,23044123,4.83,5.644814815,14.14758621,5.366666667,351.2288218,64.70568085,3871,18.5,0
14.16,8.14,710000,11.56,25000,751,34.9,-5.31,74584,23,11.3475,62.33142857,28.06666667,99.31291611,318.1081238,52,70.5,0
16.32,6.28,37600000,20.6,1241000,1564116,29.8,-0.78,3198913,8,30.14454545,38.58583333,19.56666667,2.045189104,91.00946808,2137,68.4,0
18.78,5.84,3360000,24.1,196100,4033,26.8,-0.58,589451,9,5.986666667,10.685,10.6,146.1569551,117.2347031,364,65.7,0
25.21,3.92,372270000,20.08,8900000,438317,21.2,-0.68,39650145,16,8.2,18.64333333,27.4,90.45997531,115.2330093,27724,70.5,0
9.32,12.96,179970000,3.31,4381000,207600,40.9,0.72,9441842,0.8,42.07333333,94.35653846,26.4,45.48093449,250.8408051,7429,78.6,0
18.22,5.91,52260000,12.38,2908000,21041,27.7,-5.57,6528135,7,17.67333333,17.33714286,22.4,310.25783,184.2216339,4618,72,0
12.44,7.23,24640000,10.82,554000,2040,36.3,0,1386129,6.65,16.33461538,31.19166667,11.4,679.475,281.9010925,517,40.8,0
11.17,9.5,326200000,3.09,2736000,43094,42,2.74,5894687,3.05,32.62965517,97.17814815,21.3,136.786722,5214.660156,5057,87.9,0
15.59,6.74,3130470000,20.16,129366000,1904569,31.1,-0.72,275122131,5.31,2.755,17.206,6.933333333,144.4537483,55.08996582,147603,55.3,0
12.43,7.24,1240000,8.5,18170,261,36.5,1.16,54149,4.5,12.20769231,61.7625,23,207.467433,461.7450256,17,30.8,0
10.76,6.9,33670000,8.61,416000,9251,37.9,7.29,1281506,7.07,19.83923077,33.04178571,22.6,138.5262134,836.5236816,794,66.8,0
